ea01id;ea01dtemis;ea01dtentrega;ea01vlr10
16013876;09/02/2023;24/02/2023;81.91212121
16013820;09/02/2023;21/02/2023;115.1991342
16016615;10/02/2023;24/02/2023;502.1774892
16016606;10/02/2023;24/02/2023;40.27619048
16018087;13/02/2023;28/02/2023;85.71991342
16017778;13/02/2023;28/02/2023;140.2177489
16017312;13/02/2023;28/02/2023;75.57532468
16017327;13/02/2023;23/02/2023;105.9467532
16017351;13/02/2023;28/02/2023;78.48571429
16017878;13/02/2023;23/02/2023;72.23939394
16017749;13/02/2023;28/02/2023;853.4818182
16017836;13/02/2023;01/03/2023;72.23939394
16017817;13/02/2023;28/02/2023;72.23939394
16017789;13/02/2023;28/02/2023;192.9493506
16017854;13/02/2023;23/02/2023;159.7735931
16017990;13/02/2023;28/02/2023;191.9528139
16017951;13/02/2023;24/02/2023;233.3532468
16017730;13/02/2023;21/02/2023;71.78268398
16018101;13/02/2023;28/02/2023;144.4813853
16017933;13/02/2023;24/02/2023;144.4813853
16018007;13/02/2023;03/03/2023;879.2471861
16017521;13/02/2023;28/02/2023;292.2662338
16017896;13/02/2023;23/02/2023;119.317316
16017915;13/02/2023;23/02/2023;138.5917749
16017370;13/02/2023;03/03/2023;412.7891775
16017974;13/02/2023;28/02/2023;78.39480519
16021217;14/02/2023;28/02/2023;108.5800866
16024805;14/02/2023;05/03/2023;145.6857143
16020936;14/02/2023;03/03/2023;253.8142857
16025340;14/02/2023;05/03/2023;4.675324675
16025331;14/02/2023;05/03/2023;4.675324675
16025322;14/02/2023;05/03/2023;4.675324675
16025312;14/02/2023;05/03/2023;4.675324675
16025303;14/02/2023;05/03/2023;4.675324675
16025293;14/02/2023;05/03/2023;4.675324675
16025283;14/02/2023;05/03/2023;4.675324675
16025273;14/02/2023;05/03/2023;4.675324675
16025263;14/02/2023;05/03/2023;4.675324675
16025253;14/02/2023;05/03/2023;4.675324675
16025243;14/02/2023;05/03/2023;4.675324675
16025233;14/02/2023;05/03/2023;4.675324675
16025223;14/02/2023;05/03/2023;4.675324675
16025213;14/02/2023;05/03/2023;4.675324675
16025203;14/02/2023;05/03/2023;4.675324675
16025193;14/02/2023;05/03/2023;4.675324675
16025183;14/02/2023;05/03/2023;4.675324675
16025173;14/02/2023;05/03/2023;4.675324675
16025105;14/02/2023;05/03/2023;4.675324675
16024925;14/02/2023;05/03/2023;59.92987013
16024912;14/02/2023;05/03/2023;132.4532468
16024819;14/02/2023;05/03/2023;485.8233766
16024791;14/02/2023;05/03/2023;247.8896104
16024732;14/02/2023;05/03/2023;382.2077922
16024696;14/02/2023;05/03/2023;63.49090909
16024682;14/02/2023;05/03/2023;136.5350649
16024670;14/02/2023;05/03/2023;100.212987
16024656;14/02/2023;05/03/2023;93.11558442
16024643;14/02/2023;05/03/2023;98.96493506
16024629;14/02/2023;05/03/2023;132.4974026
16024614;14/02/2023;05/03/2023;14.02597403
16023254;14/02/2023;05/03/2023;47.92727273
16023168;14/02/2023;05/03/2023;141.3506494
16023156;14/02/2023;05/03/2023;23.65714286
16023141;14/02/2023;05/03/2023;156.3272727
16023126;14/02/2023;05/03/2023;175.9623377
16023115;14/02/2023;05/03/2023;70.49350649
16023100;14/02/2023;05/03/2023;228.6116883
